Model,Version,Weight,mAP50,Average_IoU
YOLOv11,v11-l,last.pt,0.7275118163273219,0.8471517960348909
YOLOv11,v11-l,best.pt,0.7275118163273219,0.8471517960348909
YOLOv11,v11-m,last.pt,0.725216899691595,0.844887228105061
YOLOv11,v11-m,best.pt,0.725216899691595,0.844887228105061
YOLOv11,v11-n,last.pt,0.7346556787281004,0.8423617291845594
YOLOv11,v11-n,best.pt,0.7346556787281004,0.8423617291845594
YOLOv11,v11-s,last.pt,0.8453605640520535,0.8411828091310664
YOLOv11,v11-s,best.pt,0.8453605640520535,0.8411828091310664
YOLOv11,v11_x,last.pt,0.6802661790783293,0.8272287749626777
YOLOv11,v11_x,best.pt,0.6802661790783293,0.8272287749626777
