Version,FPS,Latency (s)
v11-n,61.95614399023687,0.016140449285507202
v11-s,59.78408193286372,0.016726860523223877
v11-m,44.01677318394489,0.02271861219406128
v11-l,33.71845474875623,0.029657349586486817
v11-x,20.61054384354262,0.04851885557174682
